Cell #,P1.1B,P2.1D,P3.2F,8.1b,5.1F,7.1B,3.1b,8.2b,9.1D,FAST 3B,FAST 7b,FAST 8b,8B SLOW,7b slow,7B: -10 ST,7B: -20 ST,7B: +5 ST,8b: -10 ST,8b: -20 ST,8b: +5 ST,FM DWN 2hz,FM DWN 5hz,FM DWN 10hz
65,13.4231226693,2.2840026447,-5.892299029,19.8915729345,-1.3787605415,16.0765292118,-8.2127995339,1.5125728062,14.2147375067,-1.2366060138,15.2273800898,7.7022534021,11.975484183,22.2571491479,13.9868813976,15.5266330198,-4.3408929725,18.943069921,19.521052953,14.0172315738,13.8444960023,9.8530257582,6.8829054869
66,20.247645258,5.705057195,-2.0723108822,14.4158001545,5.8521057874,24.3813507398,-11.0528753093,8.4573633318,11.0528524906,-5.1108830051,16.450907992,9.4624473925,21.5526759573,24.7433206928,6.0141460265,10.6493102815,3.7034264421,27.1963841225,20.6312711788,6.1347841627,14.4959576963,38.2005795538,9.9559026049
67,25.4285868587,-0.0214928943,5.1637482705,30.8479727933,3.7684994557,22.8656225519,-2.8136400655,6.8405815612,7.6112826026,-1.0499251918,15.2085434827,6.057363852,22.0035655858,19.2936937098,21.9383800058,15.8652953045,2.6057169559,28.972449515,13.6868328797,5.6808793129,16.8516150641,19.6291644443,5.0189080768
68,34.6187085899,12.276562812,5.4830049338,32.6228919102,6.1438970824,24.7488529408,-3.4681895261,13.5685221944,9.3488399718,0.657111136,28.1589998629,17.0609797749,,,32.3306627344,7.9338280009,-0.1147175652,13.7440923942,22.1383767676,11.6300823885,,,
69,27.474495577,1.2505777713,14.3158097912,28.005155288,12.5189232028,14.2040848801,-2.5901125363,2.5130624329,18.2658035949,-5.7297983655,12.3175623406,5.9196212977,10.792252342,16.1806418151,20.5843222616,17.4718814382,-0.3011528775,10.0907877154,18.3313218157,2.7669432888,11.7352912015,20.537990911,11.11694447
70,38.2966533703,-2.9353938222,0.2183310302,49.7944376175,6.4824385775,67.4373726072,-9.8258393062,23.0941034481,13.3540233429,3.1975504936,29.2060330939,25.6468503442,25.1929163736,23.0294094771,12.9069372925,15.1750735247,5.3677381203,9.1820502747,22.1262980834,10.5831414049,14.279975214,24.902664937,13.6313453007
71,61.7415908098,1.5036587452,13.3475097619,54.363026906,20.8524793289,28.6985008964,7.5597239196,28.3396656881,24.6157355034,-5.4812180509,24.6826449673,21.2454477986,47.1063408264,41.7498048885,59.8113284522,9.915634219,-1.6683814711,33.5595414353,12.8751407661,11.9555638278,19.1545381869,18.1162237991,15.80755641
72,38.6485259818,9.1745450145,7.6790778513,12.4236732158,7.2984651922,30.8542402114,1.6000375319,14.9622668712,30.903442316,8.2953293337,22.0298032731,12.4251478894,33.1294411512,28.2544648261,19.7424117285,25.4758036404,8.5895629986,11.7484065132,19.9684127338,16.2076941282,18.5682539597,39.0041332396,25.2924050941
73,17.7620389213,2.9532975562,0.6166951067,23.8458491139,3.4675416161,27.9591506401,5.2302728564,7.84947995,8.7503059396,3.4136724726,1.4879177982,1.1079441064,12.2867195065,13.2954155139,1.6771567015,34.7951994016,3.1415872398,23.6375489828,22.0199413121,6.3511230829,11.9724904746,24.5446973764,13.0518026138
74,24.0294155994,-0.5459478822,6.566392089,12.9872929987,2.195176657,10.0226964882,-3.5865727327,5.8247916162,5.7764754448,1.2430843067,10.7775251636,5.396936639,20.2482544397,9.5298891022,12.7678626772,5.0313314045,7.9279153547,20.2686823677,12.0344498599,11.6305463178,28.9838197991,44.9597347246,22.2669861683
75,,,,20.4187419626,3.1295268526,48.2314377252,7.7691153179,30.3087200771,17.8064753482,-1.423832689,-19.1709623802,-0.6820956142,11.8595805388,29.4028064025,17.9462868241,18.3687780945,-1.9771292085,9.5444264595,14.6368266654,10.7722734353,13.0245673759,5.7807183471,24.7413430512
76,28.7003981441,4.7641227741,0.5265739241,26.178054528,8.8813945312,27.499459891,-1.6153820796,13.986041789,19.7235846212,-1.2427207634,25.5217485162,15.3408647955,23.8414114521,24.6115899726,41.1709880709,23.9284313926,-0.3971819498,12.6615807631,23.3358086778,6.5595057326,23.7060196138,41.7299167615,26.7015835523
77,66.4787070672,-3.2272567342,1.9051384461,21.3528184575,4.2945142479,36.349476228,-2.3963260079,8.5545495644,16.3126314252,,,,7.5411201917,,21.1484247368,48.3860387313,-5.8820043208,22.8723110076,13.6919718848,1.4048428459,23.4953040182,,
78,,,,20.9334251798,9.3406445607,39.1522414522,4.5568454461,14.8874807867,21.2533199637,-2.3429337815,18.5704806219,12.8397080119,,32.7531775117,21.1859557056,15.952680771,7.9800909902,19.3897608676,10.4937747448,3.7846583924,32.1152496071,24.3260910498,20.5767925024
79,,,,33.0922706089,6.8766404969,60.9172030239,6.4544169184,27.9112744746,24.0936453976,-1.7004576478,32.0390293051,18.2209807584,,51.6595251262,16.8309532256,20.4609354842,9.1948669199,9.8470646756,20.7136915967,18.9427820418,24.7311503283,23.4093271814,19.3702327999
80,,,,16.4811804526,-2.6006563695,29.9844488699,2.1202039434,17.6938238628,-1.1654947491,0.2772262104,12.6900090604,-1.1180056112,,22.8736403762,9.7274328901,15.3581464971,-1.3583366001,17.5076108653,11.9455608891,11.3818854132,10.9576802978,26.9990001748,15.0786451447
